,Name,Search_name,Exclude_entries
4281,Joice Cafe,joice cafe,
4282,Joie De Vie,joie de vie,
4283,Burger Maxx,burger maxx,
4284,Subway (Victoria Road),subway (victoria road),
4285,Portside Fish & Chips,portside fish & chips,
4286,Burger Master,burger master,
4287,Jojo's Peri Peri,jojo's peri peri,
4288,Subway (Union Street),subway (union street),
4289,K2H Creative Indian Kitchen,k2h creative indian kitchen,
4290,The Palazzo,the palazzo,
4291,Jesters Chicken,jesters chicken,
4292,Nice as Pies,nice as pies,
4293,Craddocks Bakery,craddocks bakery,
4294,Craft & Dough,craft & dough,
4295,Kammoon Lebanese Cuisine,kammoon lebanese cuisine,
4296,The Royal Bengal,the royal bengal,
4297,The Royal Desserts,the royal desserts,
4298,Protein Hut,protein hut,
4299,Craft and Skewers,craft and skewers,
4300,Brighton Road Convenience Store,brighton road convenience store,
4301,The Royal Oak,the royal oak,
4302,The Royal Spice,the royal spice,
4303,The Ruby,the ruby,
4304,Kappa Sushi,kappa sushi,
4305,Nice Sushi,nice sushi,
4306,Kandy Kraze Bar,kandy kraze bar,
4307,The Rustic Chef Cafe,the rustic chef cafe,
4308,Proven Slice Woodfired,proven slice woodfired,
4309,Crave Desserts,crave desserts,
4310,Nice Chinese Takeaway,nice chinese takeaway,
4311,Bridge Cafe,bridge cafe,
4312,Kapadokya,kapadokya,
4313,The Sandwich Stop,the sandwich stop,
4314,The Sauce,the sauce,
4315,The Rose & Crown,the rose & crown,
4316,Proper Pizza,proper pizza,
4317,KamPai,kampai,
4318,Britannia,britannia,
4319,Broadway Cafe,broadway cafe,
4320,Broadway 2,broadway 2,
4321,The Red Rose,the red rose,
4322,Stoke Kebab House,stoke kebab house,
4323,Pronta Pizza,pronta pizza,
4324,Country Kitchen,country kitchen,
4325,Stoke Bakery,stoke bakery,
4326,Nines,nines,
4327,Court X- Enjoy Food Court at Home,court x- enjoy food court at home,
4328,Kake Temptations,kake temptations,
4329,Kakki Katsu,kakki katsu,
4330,Stockbridge Arms Fish Restaurant,stockbridge arms fish restaurant,
4331,Brittos,brittos,
4332,British Raj Express,british raj express,
4333,Pronto Grill House,pronto grill house,
4334,The Rising Sun,the rising sun,
4335,Pronto Pizzeria,pronto pizzeria,
4336,Sticky Fingers,sticky fingers,
4337,Kam Moon Chinese & Thai Takeaway,kam moon chinese & thai takeaway,
4338,Proper Burger,proper burger,
4339,Britannia Cafe,britannia cafe,
4340,BrgrBro,brgrbro,
4341,Cravings Desserts,cravings desserts,
4342,The Red House,the red house,
4343,Kashmir Indian Restaurant,kashmir indian restaurant,
4344,New York’s Pizza,new york’s pizza,
4345,Station Food & Wine,station food & wine,
4346,New York Krispy Fried Chicken,new york krispy fried chicken,
4347,Karma Restaurant,karma restaurant,
4348,New York Hotdogs,new york hotdogs,
4349,Station Fish Bar,station fish bar,
4350,Kasa,kasa,
4351,New York Candy Shop,new york candy shop,
4352,Punjabi Dhaba,punjabi dhaba,
4353,Starving Man,starving man,
4354,Breakfast Diner,breakfast diner,
4355,Brews,brews,
4356,Kashmir Spice,kashmir spice,
4357,The Snack Shack,the snack shack,
4358,Breakfast Buns,breakfast buns,
4359,Punjabi Mama's Kitchen,punjabi mama's kitchen,
4360,Starfish & Coffee,starfish & coffee,
4361,The Souvlaki,the souvlaki,
4362,Breakfast Bar,breakfast bar,
4363,Creams Café,creams café,
4364,New Top Chef,new top chef,
4365,Creamz Original,creamz original,
4366,New Yummies,new yummies,
4367,Station Kebab House,station kebab house,
4368,Karma,karma,
4369,Newbridge Fish Bar,newbridge fish bar,
